wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
e8-2e e9-cf ea-12 eb-9a ec-1a ed-3c ee-3d ef-b9 
f0-70 f1-0c f2-29 f3-37 f4-44 f5-be f6-34 f7-40 
f8-5d f9-36 fa-1f fb-11 fc-a9 fd-b5 fe-9e ff-51 
end wires

wires 21
00-05 01-cd 02-db 03-54 04-10 05-00 06-12 07-31 
08-93 09-f9 0a-55 0b-49 0c-b1 0d-4f 0e-64 0f-a1 
10-04 11-ba 12-06 13-2e 14-78 15-18 16-23 17-cf 
18-15 19-a3 1a-5c 1b-84 1c-3f 1d-bd 1e-9e 1f-74 
20-52 21-e2 22-6c 23-16 24-fb 25-d5 26-aa 27-8f 
28-d3 29-50 2a-34 2b-96 2c-ef 2d-d7 2e-13 2f-57 
30-fc 31-07 32-d0 33-44 34-2a 35-ce 36-eb 37-67 
38-c2 39-dc 3a-7e 3b-80 3c-4e 3d-62 3e-94 3f-1c 
40-75 41-48 42-ca 43-58 44-33 45-a5 46-d6 47-83 
48-41 49-0b 4a-ea 4b-98 4c-e7 4d-e3 4e-3c 4f-0d 
50-29 51-f1 52-20 53-73 54-03 55-0a 56-8e 57-2f 
58-43 59-87 5a-71 5b-8a 5c-1a 5d-92 5e-6f 5f-69 
60-86 61-fa 62-3d 63-f0 64-0e 65-77 66-7a 67-37 
68-f8 69-5f 6a-85 6b-7c 6c-22 6d-9c 6e-c7 6f-5e 
70-f7 71-5a 72-a7 73-53 74-1f 75-40 76-e5 77-65 
78-14 79-d4 7a-66 7b-c6 7c-6b 7d-de 7e-3a 7f-d9 
80-3b 81-c4 82-ab 83-47 84-1b 85-6a 86-60 87-59 
88-b6 89-97 8a-5b 8b-c9 8c-e6 8d-df 8e-56 8f-27 
90-b5 91-a6 92-5d 93-08 94-3e 95-d2 96-2b 97-89 
98-4b 99-a4 9a-e4 9b-b4 9c-6d 9d-b2 9e-1e 9f-f3 
a0-dd a1-0f a2-ae a3-19 a4-99 a5-45 a6-91 a7-72 
a8-b8 a9-cc aa-26 ab-82 ac-ed ad-e0 ae-a2 af-ec 
b0-d1 b1-0c b2-9d b3-f2 b4-9b b5-90 b6-88 b7-c1 
b8-a8 b9-c0 ba-11 bb-e8 bc-f5 bd-1d be-fd bf-e1 
c0-b9 c1-b7 c2-38 c3-f4 c4-81 c5-d8 c6-7b c7-6e 
c8-cb c9-8b ca-42 cb-c8 cc-a9 cd-01 ce-35 cf-17 
d0-32 d1-b0 d2-95 d3-28 d4-79 d5-25 d6-46 d7-2d 
d8-c5 d9-7f da-f6 db-02 dc-39 dd-a0 de-7d df-8d 
e0-ad e1-bf e2-21 e3-4d e4-9a e5-76 e6-8c e7-4c 
e8-bb e9-ee ea-4a eb-36 ec-af ed-ac ee-e9 ef-2c 
f0-63 f1-51 f2-b3 f3-9f f4-c3 f5-bc f6-da f7-70 
f8-68 f9-09 fa-61 fb-24 fc-30 fd-be fe-ff ff-fe 
end wires

wires 22
00-d1 01-cf 02-8d 03-64 04-3d 05-d9 06-51 07-d5 
08-65 09-39 0a-f5 0b-e0 0c-c3 0d-a8 0e-4b 0f-e9 
10-ca 11-e5 12-94 13-dd 14-8e 15-b8 16-54 17-fa 
18-6f 19-9a 1a-3e 1b-9c 1c-6a 1d-80 1e-49 1f-41 
20-a9 21-83 22-35 23-c8 24-53 25-99 26-55 27-33 
28-7b 29-a5 2a-86 2b-61 2c-4d 2d-63 2e-6b 2f-a7 
30-a6 31-b6 32-95 33-27 34-37 35-22 36-43 37-34 
38-44 39-09 3a-f9 3b-da 3c-b4 3d-04 3e-1a 3f-a2 
40-e8 41-1f 42-9d 43-36 44-38 45-57 46-71 47-9e 
48-60 49-1e 4a-ec 4b-0e 4c-85 4d-2c 4e-f2 4f-fd 
50-aa 51-06 52-a3 53-24 54-16 55-26 56-e2 57-45 
58-93 59-b3 5a-e4 5b-dc 5c-7e 5d-d7 5e-c9 5f-f3 
60-48 61-2b 62-a4 63-2d 64-03 65-08 66-88 67-fb 
68-6e 69-eb 6a-1c 6b-2e 6c-74 6d-c0 6e-68 6f-18 
70-b7 71-46 72-7d 73-fe 74-6c 75-79 76-d0 77-ab 
78-b5 79-75 7a-f1 7b-28 7c-c7 7d-72 7e-5c 7f-bd 
80-1d 81-9f 82-bf 83-21 84-8f 85-4c 86-2a 87-de 
88-66 89-ee 8a-a0 8b-90 8c-df 8d-02 8e-14 8f-84 
90-8b 91-c2 92-a1 93-58 94-12 95-32 96-d3 97-be 
98-e6 99-25 9a-19 9b-f6 9c-1b 9d-42 9e-47 9f-81 
a0-8a a1-92 a2-3f a3-52 a4-62 a5-29 a6-30 a7-2f 
a8-0d a9-20 aa-50 ab-77 ac-f0 ad-bb ae-e1 af-ed 
b0-ff b1-e3 b2-fc b3-59 b4-3c b5-78 b6-31 b7-70 
b8-15 b9-db ba-c5 bb-ad bc-cc bd-7f be-97 bf-82 
c0-6d c1-ea c2-91 c3-0c c4-cb c5-ba c6-ce c7-7c 
c8-23 c9-5e ca-10 cb-c4 cc-bc cd-ef ce-c6 cf-01 
d0-76 d1-00 d2-e7 d3-96 d4-f7 d5-07 d6-d8 d7-5d 
d8-d6 d9-05 da-3b db-b9 dc-5b dd-13 de-87 df-8c 
e0-0b e1-ae e2-56 e3-b1 e4-5a e5-11 e6-98 e7-d2 
e8-40 e9-0f ea-c1 eb-69 ec-4a ed-af ee-89 ef-cd 
f0-ac f1-7a f2-4e f3-5f f4-f8 f5-0a f6-9b f7-d4 
f8-f4 f9-3a fa-17 fb-67 fc-b2 fd-4f fe-73 ff-b0 
end wires

wires 23
00-a4 01-48 02-43 03-ea 04-b4 05-35 06-ec 07-7e 
08-d1 09-72 0a-94 0b-4c 0c-c0 0d-2a 0e-5f 0f-e8 
10-98 11-fa 12-19 13-9d 14-7f 15-1c 16-f2 17-e0 
18-a7 19-12 1a-8e 1b-7c 1c-15 1d-38 1e-be 1f-a6 
20-e6 21-4d 22-d8 23-36 24-70 25-c3 26-75 27-e5 
28-8f 29-57 2a-0d 2b-86 2c-dc 2d-9e 2e-cf 2f-6c 
30-f7 31-d5 32-84 33-aa 34-ab 35-05 36-23 37-96 
38-1d 39-55 3a-d3 3b-fc 3c-c6 3d-8c 3e-df 3f-ac 
40-58 41-b2 42-73 43-02 44-dd 45-7a 46-ca 47-4a 
48-01 49-80 4a-47 4b-90 4c-0b 4d-21 4e-bc 4f-74 
50-c2 51-fb 52-fe 53-e3 54-59 55-39 56-82 57-29 
58-40 59-54 5a-d0 5b-b1 5c-c7 5d-65 5e-cb 5f-0e 
60-c8 61-ce 62-b3 63-a8 64-ba 65-5d 66-fd 67-a0 
68-c5 69-f3 6a-9c 6b-8b 6c-2f 6d-b5 6e-85 6f-ad 
70-24 71-db 72-09 73-42 74-4f 75-26 76-b0 77-da 
78-e7 79-9f 7a-45 7b-e2 7c-1b 7d-f5 7e-07 7f-14 
80-49 81-cc 82-56 83-f6 84-32 85-6e 86-2b 87-c1 
88-f0 89-d7 8a-f8 8b-6b 8c-3d 8d-d6 8e-1a 8f-28 
90-4b 91-a3 92-c4 93-99 94-0a 95-a2 96-37 97-b9 
98-10 99-93 9a-c9 9b-e4 9c-6a 9d-13 9e-2d 9f-79 
a0-67 a1-ed a2-95 a3-91 a4-00 a5-d4 a6-1f a7-18 
a8-63 a9-f9 aa-33 ab-34 ac-3f ad-6f ae-b8 af-d2 
b0-76 b1-5b b2-41 b3-62 b4-04 b5-6d b6-f4 b7-ee 
b8-ae b9-97 ba-64 bb-de bc-4e bd-cd be-1e bf-f1 
c0-0c c1-87 c2-50 c3-25 c4-92 c5-68 c6-3c c7-5c 
c8-60 c9-9a ca-46 cb-5e cc-81 cd-bd ce-61 cf-2e 
d0-5a d1-08 d2-af d3-3a d4-a5 d5-31 d6-8d d7-89 
d8-22 d9-ff da-77 db-71 dc-2c dd-44 de-bb df-3e 
e0-17 e1-ef e2-7b e3-53 e4-9b e5-27 e6-20 e7-78 
e8-0f e9-eb ea-03 eb-e9 ec-06 ed-a1 ee-b7 ef-e1 
f0-88 f1-bf f2-16 f3-69 f4-b6 f5-7d f6-83 f7-30 
f8-8a f9-a9 fa-11 fb-51 fc-3b fd-66 fe-52 ff-d9 
end wires

wires 24
00-61 01-e9 02-f8 03-ad 04-54 05-89 06-10 07-60 
08-7a 09-fb 0a-0d 0b-b8 0c-17 0d-0a 0e-8e 0f-f1 
10-06 11-c0 12-c5 13-ff 14-f9 15-6a 16-57 17-0c 
18-f5 19-3a 1a-86 1b-2e 1c-94 1d-29 1e-67 1f-7e 
20-df 21-2c 22-ec 23-48 24-a0 25-9e 26-f6 27-80 
28-ed 29-1d 2a-a7 2b-6c 2c-21 2d-e7 2e-1b 2f-a3 
30-9a 31-7f 32-68 33-a8 34-62 35-af 36-43 37-98 
38-4e 39-59 3a-19 3b-71 3c-ca 3d-45 3e-fe 3f-b7 
40-be 41-d5 42-d7 43-36 44-51 45-3d 46-56 47-6b 
48-23 49-5e 4a-b1 4b-fd 4c-cb 4d-de 4e-38 4f-8f 
50-99 51-44 52-c8 53-d2 54-04 55-81 56-46 57-16 
58-a9 59-39 5a-aa 5b-7c 5c-5d 5d-5c 5e-49 5f-70 
60-07 61-00 62-34 63-e6 64-f4 65-e4 66-f3 67-1e 
68-32 69-93 6a-15 6b-47 6c-2b 6d-b9 6e-8b 6f-e3 
70-5f 71-3b 72-fa 73-cc 74-b5 75-eb 76-c4 77-ee 
78-bf 79-ba 7a-08 7b-dc 7c-5b 7d-92 7e-1f 7f-31 
80-27 81-55 82-c3 83-a6 84-d6 85-d4 86-1a 87-f0 
88-8d 89-05 8a-b4 8b-6e 8c-97 8d-88 8e-0e 8f-4f 
90-a2 91-c1 92-7d 93-69 94-1c 95-c2 96-e0 97-8c 
98-37 99-50 9a-30 9b-d1 9c-9f 9d-bc 9e-25 9f-9c 
a0-24 a1-ab a2-90 a3-2f a4-c9 a5-e2 a6-83 a7-2a 
a8-33 a9-58 aa-5a ab-a1 ac-d8 ad-03 ae-c6 af-35 
b0-d3 b1-4a b2-cd b3-ce b4-8a b5-74 b6-d0 b7-3f 
b8-0b b9-6d ba-79 bb-db bc-9d bd-cf be-40 bf-78 
c0-11 c1-91 c2-95 c3-82 c4-76 c5-12 c6-ae c7-f7 
c8-52 c9-a4 ca-3c cb-4c cc-73 cd-b2 ce-b3 cf-bd 
d0-b6 d1-9b d2-53 d3-b0 d4-85 d5-41 d6-84 d7-42 
d8-ac d9-e5 da-fc db-bb dc-7b dd-e8 de-4d df-20 
e0-96 e1-ef e2-a5 e3-6f e4-65 e5-d9 e6-63 e7-2d 
e8-dd e9-01 ea-f2 eb-75 ec-22 ed-28 ee-77 ef-e1 
f0-87 f1-0f f2-ea f3-66 f4-64 f5-18 f6-26 f7-c7 
f8-02 f9-14 fa-72 fb-09 fc-da fd-4b fe-3e ff-13 
end wires

wires 25
00-68 01-74 02-96 03-69 04-9d 05-19 06-dc 07-17 
08-c6 09-7a 0a-9f 0b-81 0c-3d 0d-25 0e-8b 0f-e5 
10-71 11-be 12-b0 13-8f 14-4c 15-6e 16-24 17-07 
18-f2 19-05 1a-41 1b-7f 1c-59 1d-d2 1e-6b 1f-d8 
20-4e 21-b4 22-ab 23-e3 24-16 25-0d 26-56 27-47 
28-72 29-36 2a-c4 2b-f3 2c-34 2d-51 2e-c2 2f-d9 
30-a8 31-9e 32-f4 33-9a 34-2c 35-d5 36-29 37-cb 
38-a2 39-ac 3a-6f 3b-48 3c-d0 3d-0c 3e-5a 3f-82 
40-64 41-1a 42-fa 43-7b 44-75 45-cc 46-b9 47-27 
48-3b 49-98 4a-95 4b-ed 4c-14 4d-a1 4e-20 4f-e7 
50-bb 51-2d 52-de 53-87 54-61 55-99 56-26 57-af 
58-a7 59-1c 5a-3e 5b-66 5c-78 5d-93 5e-6a 5f-f8 
60-83 61-54 62-c1 63-aa 64-40 65-9b 66-5b 67-f7 
68-00 69-03 6a-5e 6b-1e 6c-e0 6d-85 6e-15 6f-3a 
70-ce 71-10 72-28 73-da 74-01 75-44 76-c8 77-db 
78-5c 79-e8 7a-09 7b-43 7c-ba 7d-a6 7e-d6 7f-1b 
80-8a 81-0b 82-3f 83-60 84-ee 85-6d 86-a3 87-53 
88-fd 89-8c 8a-80 8b-0e 8c-89 8d-f5 8e-eb 8f-13 
90-c9 91-a9 92-bd 93-5d 94-b5 95-4a 96-02 97-ff 
98-49 99-55 9a-33 9b-65 9c-fc 9d-04 9e-31 9f-0a 
a0-e1 a1-4d a2-38 a3-86 a4-dd a5-d3 a6-7d a7-58 
a8-30 a9-91 aa-63 ab-22 ac-39 ad-bc ae-ca af-57 
b0-12 b1-c3 b2-e9 b3-f6 b4-21 b5-94 b6-b8 b7-d7 
b8-b6 b9-46 ba-7c bb-50 bc-ad bd-92 be-11 bf-e4 
c0-ec c1-62 c2-2e c3-b1 c4-2a c5-d1 c6-08 c7-df 
c8-76 c9-90 ca-ae cb-37 cc-45 cd-fe ce-70 cf-f9 
d0-3c d1-c5 d2-1d d3-a5 d4-e6 d5-35 d6-7e d7-b7 
d8-1f d9-2f da-73 db-77 dc-06 dd-a4 de-52 df-c7 
e0-6c e1-a0 e2-f0 e3-23 e4-bf e5-0f e6-d4 e7-4f 
e8-79 e9-b2 ea-f1 eb-8e ec-c0 ed-4b ee-84 ef-fb 
f0-e2 f1-ea f2-18 f3-2b f4-32 f5-8d f6-b3 f7-67 
f8-5f f9-cf fa-42 fb-ef fc-9c fd-88 fe-cd ff-97 
end wires

wires 26
00-95 01-ed 02-b3 03-37 04-28 05-f7 06-de 07-f0 
08-96 09-ea 0a-60 0b-71 0c-66 0d-89 0e-ac 0f-ba 
10-e5 11-47 12-31 13-43 14-5c 15-4a 16-1e 17-d3 
18-2e 19-b5 1a-a6 1b-e8 1c-aa 1d-9b 1e-16 1f-75 
20-a5 21-cd 22-f6 23-c8 24-fc 25-69 26-4f 27-e3 
28-04 29-ae 2a-dd 2b-f5 2c-6e 2d-5a 2e-18 2f-77 
30-c7 31-12 32-79 33-f1 34-b2 35-9c 36-d6 37-03 
38-50 39-97 3a-7f 3b-bd 3c-63 3d-d1 3e-49 3f-6d 
40-a7 41-82 42-b8 43-13 44-61 45-dc 46-59 47-11 
48-53 49-3e 4a-15 4b-cc 4c-ec 4d-ad 4e-8f 4f-26 
50-38 51-e9 52-bc 53-48 54-b7 55-9e 56-92 57-c3 
58-94 59-46 5a-2d 5b-9d 5c-14 5d-a3 5e-73 5f-e0 
60-0a 61-44 62-8a 63-3c 64-d2 65-b4 66-0c 67-a0 
68-6f 69-25 6a-a2 6b-88 6c-fb 6d-3f 6e-2c 6f-68 
70-85 71-0b 72-c1 73-5e 74-a9 75-1f 76-f3 77-2f 
78-80 79-32 7a-98 7b-fa 7c-87 7d-91 7e-e4 7f-3a 
80-78 81-ff 82-41 83-ef 84-c0 85-70 86-e2 87-7c 
88-6b 89-0d 8a-62 8b-8d 8c-99 8d-8b 8e-90 8f-4e 
90-8e 91-7d 92-56 93-df 94-58 95-00 96-08 97-39 
98-7a 99-8c 9a-ca 9b-1d 9c-35 9d-5b 9e-55 9f-c4 
a0-67 a1-d9 a2-6a a3-5d a4-d7 a5-20 a6-1a a7-40 
a8-d5 a9-74 aa-1c ab-db ac-0e ad-4d ae-29 af-b6 
b0-f2 b1-e1 b2-34 b3-02 b4-65 b5-19 b6-af b7-54 
b8-42 b9-cf ba-0f bb-f8 bc-52 bd-3b be-f9 bf-e6 
c0-84 c1-72 c2-f4 c3-57 c4-9f c5-ce c6-d8 c7-30 
c8-23 c9-cb ca-9a cb-c9 cc-4b cd-21 ce-c5 cf-b9 
d0-fd d1-3d d2-64 d3-17 d4-da d5-a8 d6-36 d7-a4 
d8-c6 d9-a1 da-d4 db-ab dc-45 dd-2a de-06 df-93 
e0-5f e1-b1 e2-86 e3-27 e4-7e e5-10 e6-bf e7-fe 
e8-1b e9-51 ea-09 eb-ee ec-4c ed-01 ee-eb ef-83 
f0-07 f1-33 f2-b0 f3-76 f4-c2 f5-2b f6-22 f7-05 
f8-bb f9-be fa-7b fb-6c fc-24 fd-d0 fe-e7 ff-81 
end wires

wires 27
00-12 01-82 02-0f 03-8e 04-de 05-43 06-bd 07-9f 
08-18 09-ca 0a-72 0b-83 0c-25 0d-7f 0e-27 0f-02 
10-c0 11-92 12-00 13-49 14-cf 15-fc 16-e9 17-76 
18-08 19-d3 1a-4c 1b-3a 1c-e8 1d-5f 1e-75 1f-45 
20-2e 21-97 22-eb 23-bc 24-66 25-0c 26-5c 27-0e 
28-cb 29-58 2a-2f 2b-a3 2c-e5 2d-3c 2e-20 2f-2a 
30-38 31-ea 32-a8 33-8a 34-47 35-42 36-9e 37-a6 
38-30 39-ff 3a-1b 3b-89 3c-2d 3d-6b 3e-f1 3f-b7 
40-c6 41-d9 42-35 43-05 44-b6 45-1f 46-a5 47-34 
48-b5 49-13 4a-ad 4b-af 4c-1a 4d-87 4e-ef 4f-e0 
50-8c 51-57 52-85 53-77 54-7c 55-cd 56-63 57-51 
58-29 59-c2 5a-dc 5b-b2 5c-26 5d-71 5e-8f 5f-1d 
60-ab 61-dd 62-f6 63-56 64-b4 65-67 66-24 67-65 
68-c5 69-88 6a-f9 6b-3d 6c-fa 6d-70 6e-6f 6f-6e 
70-6d 71-5d 72-0a 73-8b 74-98 75-1e 76-17 77-53 
78-f0 79-df 7a-7b 7b-7a 7c-54 7d-95 7e-ec 7f-0d 
80-90 81-cc 82-01 83-0b 84-9c 85-52 86-c3 87-4d 
88-69 89-3b 8a-33 8b-73 8c-50 8d-b8 8e-03 8f-5e 
90-80 91-e7 92-11 93-d7 94-b1 95-7d 96-c7 97-21 
98-74 99-d0 9a-c8 9b-f3 9c-84 9d-d6 9e-36 9f-07 
a0-a9 a1-db a2-be a3-2b a4-ce a5-46 a6-37 a7-e1 
a8-32 a9-a0 aa-e6 ab-60 ac-d8 ad-4a ae-bf af-4b 
b0-c1 b1-94 b2-5b b3-f7 b4-64 b5-48 b6-44 b7-3f 
b8-8d b9-e3 ba-fb bb-d4 bc-23 bd-06 be-a2 bf-ae 
c0-10 c1-b0 c2-59 c3-86 c4-e4 c5-68 c6-40 c7-96 
c8-9a c9-fd ca-09 cb-28 cc-81 cd-55 ce-a4 cf-14 
d0-99 d1-f2 d2-f8 d3-19 d4-bb d5-f5 d6-9d d7-93 
d8-ac d9-41 da-ee db-a1 dc-5a dd-61 de-04 df-79 
e0-4f e1-a7 e2-f4 e3-b9 e4-c4 e5-2c e6-aa e7-91 
e8-1c e9-16 ea-31 eb-22 ec-7e ed-fe ee-da ef-4e 
f0-78 f1-3e f2-d1 f3-9b f4-e2 f5-d5 f6-62 f7-b3 
f8-d2 f9-6a fa-6c fb-ba fc-15 fd-c9 fe-ed ff-39 
end wires

wires 28
00-39 01-e8 02-97 03-2c 04-50 05-8b 06-a1 07-1d 
08-83 09-6c 0a-23 0b-d0 0c-12 0d-cc 0e-e1 0f-4a 
10-86 11-df 12-0c 13-44 14-e9 15-ef 16-d9 17-ad 
18-98 19-6d 1a-f6 1b-da 1c-fb 1d-07 1e-f2 1f-3a 
20-d7 21-b1 22-67 23-0a 24-ed 25-ea 26-8f 27-d1 
28-75 29-6a 2a-2d 2b-f5 2c-03 2d-2a 2e-f0 2f-57 
30-78 31-c9 32-b2 33-7f 34-d8 35-42 36-c3 37-76 
38-93 39-00 3a-1f 3b-56 3c-9c 3d-66 3e-9d 3f-f1 
40-de 41-ba 42-35 43-ee 44-13 45-4b 46-8a 47-58 
48-5a 49-d5 4a-0f 4b-45 4c-dd 4d-bd 4e-af 4f-6f 
50-04 51-5c 52-a2 53-b0 54-e7 55-6e 56-3b 57-2f 
58-47 59-5d 5a-48 5b-b7 5c-51 5d-59 5e-ae 5f-90 
60-eb 61-94 62-9a 63-bb 64-8e 65-c7 66-3d 67-22 
68-d2 69-89 6a-29 6b-dc 6c-09 6d-19 6e-55 6f-4f 
70-ac 71-e0 72-fd 73-87 74-c1 75-28 76-37 77-8d 
78-30 79-8c 7a-c2 7b-88 7c-ca 7d-91 7e-80 7f-33 
80-7e 81-aa 82-e4 83-08 84-fe 85-f8 86-10 87-73 
88-7b 89-69 8a-46 8b-05 8c-79 8d-77 8e-64 8f-26 
90-5f 91-7d 92-96 93-38 94-61 95-ab 96-92 97-02 
98-18 99-c5 9a-62 9b-9f 9c-3c 9d-3e 9e-a6 9f-9b 
a0-b6 a1-06 a2-52 a3-e5 a4-cb a5-a9 a6-9e a7-c6 
a8-b8 a9-a5 aa-81 ab-95 ac-70 ad-17 ae-5e af-4e 
b0-53 b1-21 b2-32 b3-f9 b4-d3 b5-ce b6-a0 b7-5b 
b8-a8 b9-bf ba-41 bb-63 bc-f4 bd-4d be-d4 bf-b9 
c0-c4 c1-74 c2-7a c3-36 c4-c0 c5-99 c6-a7 c7-65 
c8-ec c9-31 ca-7c cb-a4 cc-0d cd-f3 ce-b5 cf-e6 
d0-0b d1-27 d2-68 d3-b4 d4-be d5-49 d6-f7 d7-20 
d8-34 d9-16 da-1b db-ff dc-6b dd-4c de-40 df-11 
e0-71 e1-0e e2-fc e3-fa e4-82 e5-a3 e6-cf e7-54 
e8-01 e9-14 ea-25 eb-60 ec-c8 ed-24 ee-43 ef-15 
f0-2e f1-3f f2-1e f3-cd f4-bc f5-2b f6-1a f7-d6 
f8-85 f9-b3 fa-e3 fb-1c fc-e2 fd-72 fe-84 ff-db 
end wires

wires 29
00-80 01-a1 02-1f 03-ca 04-6d 05-a4 06-84 07-83 
08-59 09-23 0a-77 0b-30 0c-da 0d-14 0e-87 0f-21 
10-b8 11-75 12-34 13-f6 14-0d 15-6c 16-90 17-85 
18-c9 19-8e 1a-9d 1b-b1 1c-b4 1d-3a 1e-2d 1f-02 
20-b6 21-0f 22-bb 23-09 24-4b 25-97 26-79 27-a9 
28-cb 29-39 2a-41 2b-fd 2c-f2 2d-1e 2e-f8 2f-d0 
30-0b 31-55 32-33 33-32 34-12 35-d2 36-ef 37-70 
38-64 39-29 3a-1d 3b-fe 3c-f4 3d-e8 3e-c0 3f-e7 
40-be 41-2a 42-ea 43-c4 44-ff 45-53 46-8a 47-cd 
48-e0 49-cf 4a-d4 4b-24 4c-6b 4d-93 4e-52 4f-f7 
50-c3 51-ba 52-4e 53-45 54-bc 55-31 56-5d 57-a3 
58-9c 59-08 5a-92 5b-5f 5c-a6 5d-56 5e-f5 5f-5b 
60-b0 61-62 62-61 63-e6 64-38 65-af 66-95 67-a0 
68-bd 69-a2 6a-9a 6b-4c 6c-15 6d-04 6e-b9 6f-ed 
70-37 71-ac 72-cc 73-fb 74-8b 75-11 76-c6 77-0a 
78-dc 79-26 7a-c7 7b-98 7c-e9 7d-ae 7e-ab 7f-a8 
80-00 81-a7 82-b3 83-07 84-06 85-17 86-d3 87-0e 
88-94 89-ce 8a-46 8b-74 8c-91 8d-fc 8e-19 8f-b5 
90-16 91-8c 92-5a 93-4d 94-88 95-66 96-f0 97-25 
98-7b 99-aa 9a-6a 9b-ee 9c-58 9d-1a 9e-d9 9f-fa 
a0-67 a1-01 a2-69 a3-57 a4-05 a5-b7 a6-5c a7-81 
a8-7f a9-27 aa-99 ab-7e ac-71 ad-e2 ae-7d af-65 
b0-60 b1-1b b2-e1 b3-82 b4-1c b5-8f b6-20 b7-a5 
b8-10 b9-6e ba-51 bb-22 bc-54 bd-68 be-40 bf-eb 
c0-3e c1-df c2-f9 c3-50 c4-43 c5-f3 c6-76 c7-7a 
c8-e3 c9-18 ca-03 cb-28 cc-72 cd-47 ce-89 cf-49 
d0-2f d1-e4 d2-35 d3-86 d4-4a d5-d8 d6-ec d7-dd 
d8-d5 d9-9e da-0c db-de dc-78 dd-d7 de-db df-c1 
e0-48 e1-b2 e2-ad e3-c8 e4-d1 e5-f1 e6-63 e7-3f 
e8-3d e9-7c ea-42 eb-bf ec-d6 ed-6f ee-9b ef-36 
f0-96 f1-e5 f2-2c f3-c5 f4-3c f5-5e f6-13 f7-4f 
f8-2e f9-c2 fa-9f fb-73 fc-8d fd-2b fe-3b ff-44 
end wires

wires 30
00-34 01-14 02-bf 03-c8 04-b4 05-de 06-ad 07-64 
08-31 09-cf 0a-5f 0b-79 0c-b7 0d-fd 0e-33 0f-4c 
10-cb 11-95 12-2d 13-fe 14-01 15-ea 16-e4 17-ae 
18-7c 19-f8 1a-c1 1b-70 1c-2e 1d-7a 1e-c4 1f-3c 
20-c3 21-73 22-dc 23-3a 24-90 25-f5 26-a2 27-3f 
28-a8 29-e5 2a-5b 2b-74 2c-a9 2d-12 2e-1c 2f-dd 
30-53 31-08 32-7b 33-0e 34-00 35-cc 36-76 37-8d 
38-60 39-62 3a-23 3b-46 3c-1f 3d-9e 3e-a5 3f-27 
40-ed 41-e1 42-52 43-5e 44-db 45-56 46-3b 47-d2 
48-4b 49-e3 4a-55 4b-48 4c-0f 4d-9f 4e-6e 4f-e2 
50-58 51-c0 52-42 53-30 54-94 55-4a 56-45 57-68 
58-50 59-e0 5a-b2 5b-2a 5c-ba 5d-f3 5e-43 5f-0a 
60-38 61-6c 62-39 63-9c 64-07 65-bb 66-cd 67-f7 
68-57 69-ca 6a-f4 6b-7f 6c-61 6d-e9 6e-4e 6f-ff 
70-1b 71-8a 72-d1 73-21 74-2b 75-b3 76-36 77-81 
78-96 79-0b 7a-1d 7b-32 7c-18 7d-df 7e-da 7f-6b 
80-97 81-77 82-87 83-b9 84-d7 85-b0 86-e6 87-82 
88-8f 89-b8 8a-71 8b-8c 8c-8b 8d-37 8e-d0 8f-88 
90-24 91-9d 92-f1 93-fb 94-54 95-11 96-78 97-80 
98-9b 99-a7 9a-ef 9b-98 9c-63 9d-91 9e-3d 9f-4d 
a0-d5 a1-ab a2-26 a3-b1 a4-f9 a5-3e a6-ee a7-99 
a8-28 a9-2c aa-c7 ab-a1 ac-d6 ad-06 ae-17 af-bd 
b0-85 b1-a3 b2-5a b3-75 b4-04 b5-ce b6-fc b7-0c 
b8-89 b9-83 ba-5c bb-65 bc-be bd-af be-bc bf-02 
c0-51 c1-1a c2-d8 c3-20 c4-1e c5-c9 c6-f2 c7-aa 
c8-03 c9-c5 ca-69 cb-10 cc-35 cd-66 ce-b5 cf-09 
d0-8e d1-72 d2-47 d3-f0 d4-fa d5-a0 d6-ac d7-84 
d8-c2 d9-ec da-7e db-44 dc-22 dd-2f de-05 df-7d 
e0-59 e1-41 e2-4f e3-49 e4-16 e5-29 e6-86 e7-f6 
e8-eb e9-6d ea-15 eb-e8 ec-d9 ed-40 ee-a6 ef-9a 
f0-d3 f1-92 f2-c6 f3-5d f4-6a f5-25 f6-e7 f7-67 
f8-19 f9-a4 fa-d4 fb-93 fc-b6 fd-0d fe-13 ff-6f 
end wires

wires 31
00-ad 01-f2 02-cc 03-05 04-18 05-03 06-7b 07-38 
08-6e 09-cf 0a-f0 0b-ee 0c-16 0d-26 0e-61 0f-a2 
10-d5 11-89 12-23 13-1f 14-73 15-ef 16-0c 17-39 
18-04 19-4e 1a-3d 1b-dc 1c-9f 1d-4a 1e-2e 1f-13 
20-ab 21-d8 22-9e 23-12 24-c4 25-8f 26-0d 27-7f 
28-b2 29-f1 2a-93 2b-5d 2c-a4 2d-a9 2e-1e 2f-ff 
30-e3 31-ed 32-95 33-e9 34-42 35-7d 36-af 37-3f 
38-07 39-17 3a-78 3b-ec 3c-bd 3d-1a 3e-8a 3f-37 
40-de 41-b0 42-34 43-b7 44-45 45-44 46-bb 47-68 
48-5f 49-bc 4a-1d 4b-a6 4c-55 4d-b9 4e-19 4f-ac 
50-5c 51-ca 52-71 53-7e 54-90 55-4c 56-a5 57-8c 
